datetime,anio,mes,defuncion,temperatura,PM10
2015-06-01,2015,6,40,13.859027777777778,28.479166666666664
2015-07-01,2015,7,44,14.124305555555555,31.516666666666666
2015-08-01,2015,8,65,14.205555555555556,31.768181818181816
2015-09-01,2015,9,52,14.3375,36.4875
2015-10-01,2015,10,56,14.368750000000002,43.154166666666654
2015-11-01,2015,11,56,14.387500000000001,42.409469696969694
2015-12-01,2015,12,46,14.293750000000001,35.95
2016-01-01,2016,1,44,15.177777777777777,64.6560606060606
2016-02-01,2016,2,39,15.42361111111111,49.518181818181816
2016-03-01,2016,3,42,15.655555555555555,57.95454545454545
2016-04-01,2016,4,44,14.76875,42.76142857142857
2016-05-01,2016,5,89,14.9,31.725757575757576
2016-06-01,2016,6,61,14.005555555555556,29.601136363636364
2016-07-01,2016,7,61,14.0,28.27462121212121
2016-08-01,2016,8,58,14.00625,31.858636363636364
2016-09-01,2016,9,45,14.005555555555555,32.644999999999996
2016-10-01,2016,10,59,14.488194444444446,42.70590909090909
2016-11-01,2016,11,36,13.85,44.29227272727273
2016-12-01,2016,12,63,13.935416666666667,45.53484848484848
2017-01-01,2017,1,68,13.727777777777778,39.533181818181816
2017-02-01,2017,2,48,13.838888888888889,49.79636363636364
2017-03-01,2017,3,66,13.79375,43.85454545454546
2017-04-01,2017,4,66,14.516666666666666,39.57083333333334
2017-05-01,2017,5,72,14.216666666666667,36.137727272727275
2017-06-01,2017,6,50,14.13888888888889,33.02083333333333
2017-07-01,2017,7,61,13.688888888888888,24.64848484848485
2017-08-01,2017,8,65,13.972222222222221,31.673863636363635
2017-09-01,2017,9,72,14.45,34.07083333333333
2017-10-01,2017,10,46,14.18888888888889,35.635606060606065
2017-11-01,2017,11,61,13.8,49.69646464646465
2017-12-01,2017,12,62,13.711111111111112,42.93666666666667
2018-01-01,2018,1,50,13.527777777777779,37.84715909090909
2018-02-01,2018,2,45,14.243749999999999,52.95
2018-03-01,2018,3,53,14.200000000000001,46.370000000000005
2018-04-01,2018,4,45,13.588888888888889,41.925
2018-05-01,2018,5,69,13.88888888888889,33.04
2018-06-01,2018,6,88,13.75,26.038257575757576
2018-07-01,2018,7,69,13.6125,28.80409090909091
2018-08-01,2018,8,51,13.462499999999999,29.736363636363638
2018-09-01,2018,9,51,13.993750000000002,33.11363636363636
2018-10-01,2018,10,36,14.29375,35.577777777777776
2018-11-01,2018,11,54,14.23888888888889,38.97525252525252
2018-12-01,2018,12,51,13.818333333333332,36.03846153846155
2019-01-01,2019,1,82,13.9875,33.79679487179487
2019-02-01,2019,2,50,14.587500000000002,48.133333333333326
2019-03-01,2019,3,46,14.679166666666669,48.57275641025642
2019-04-01,2019,4,45,14.758333333333333,37.89999999999999
2019-05-01,2019,5,66,14.391666666666666,30.734615384615385
2019-06-01,2019,6,73,14.054545454545455,20.239015151515147
2019-07-01,2019,7,57,13.76818181818182,22.65
2019-08-01,2019,8,46,13.558333333333334,23.882954545454545
2019-09-01,2019,9,52,14.1375,26.002884615384616
2019-10-01,2019,10,51,13.895833333333332,32.36923076923077
2019-11-01,2019,11,44,14.416666666666666,35.11538461538461
2019-12-01,2019,12,37,14.483333333333333,34.540909090909096
